Rank,Year,Title,Artist,Spotify_ID
37,2016,Jumpman,Drake&Future,27GmP9AWRs744SzKcpJsTZ
38,2016,I Hate U I Love U,GnashFeaturing Olivia O'Brien,
39,2016,Here,Alessia Cara,5zUQZjVB6bfewBXWqsP9PY
40,2016,Same Old Love,Selena Gomez,1BZG99C7Co1r6QUC3zaS59
41,2016,Controlla,Drake,3O8NlPh2LByMU9lSRSHedm
42,2016,Like I'm Gonna Lose You,Meghan TrainorFeaturingJohn Legend,
43,2016,One Call Away,Charlie Puth,5MwIGPDKeDb7SpblcaQP6O
44,2016,Let It Go,James Bay,2xsAm4w9P3kSF1DophKAiF
45,2016,No,Meghan Trainor,0l0CvurVUrr2w3Jj1hOVFc
46,2016,Never Forget You,Zara Larsson&MNEK,6hmhG1b4LEyNuashVvuIAo
47,2016,Let Me Love You,DJ SnakeFeaturingJustin Bieber,
48,2016,Don't Mind,Kent Jones,27PmvZoffODNFW2p7ehZTQ
49,2016,H.O.L.Y.,Florida Georgia Line,0BCy325UZyR9z0t0uxwn2N
